time,open,high,low,close,volume,I,y,b,f,c,x
1638630660000,5.8758,5.8902,5.8336,5.886,112440,1638630719999,660305.6154,829,56392,331354.1083,0
1638630720000,5.8863,5.8909,5.825,5.8457,58137,1638630779999,341245.7225,538,17593,103316.6872,0
1638630780000,5.848,5.8809,5.8301,5.8693,62711,1638630839999,366936.371,508,17566,102866.3133,0
1638630840000,5.8595,5.8932,5.8419,5.8932,37180,1638630899999,218554.5294,388,33277,195653.9319,0
1638630900000,5.8932,5.8984,5.7731,5.7732,79451,1638630959999,465317.3513,1007,26934,158371.3027,0
1638630960000,5.7792,5.805,5.7496,5.7639,66630,1638631019999,385224.218,852,39961,231209.262,0
1638631020000,5.7567,5.7792,5.7357,5.7416,23167,1638631079999,133380.5384,358,13906,80129.2462,0
1638631080000,5.74,5.7451,5.682,5.7193,30835,1638631139999,176060.1587,722,15730,89805.2373,0
1638631140000,5.7198,5.7723,5.7072,5.7666,23866,1638631199999,136722.469,428,11646,66766.832,0
1638631200000,5.77,5.77,5.7201,5.73,34099,1638631259999,195718.1459,194,6843,39272.4064,0
1638631260000,5.7305,5.7702,5.7246,5.7616,37875,1638631319999,217509.429,189,31497,180860.9107,0
1638631320000,5.7521,5.7633,5.7334,5.75,21231,1638631379999,122001.866,129,4526,26053.0146,0
1638631380000,5.75,5.7711,5.7345,5.7706,22474,1638631439999,129211.4391,158,14469,83232.0503,0
1638631440000,5.771,5.775,5.7143,5.7345,27257,1638631499999,156659.6332,320,11953,68685.0813,0
1638631500000,5.7345,5.7682,5.6666,5.7037,70560,1638631559999,403799.2169,666,42062,241422.9756,0
1638631560000,5.6963,5.7219,5.6913,5.7137,23354,1638631619999,133405.1148,152,10549,60261.6319,0
1638631620000,5.71,5.7488,5.7011,5.7454,23736,1638631679999,135867.3161,234,19616,112319.4631,0
1638631680000,5.7454,5.7783,5.74,5.7536,20380,1638631739999,117280.3522,258,18026,103733.129,0
1638631740000,5.7536,5.7635,5.7195,5.7585,35547,1638631799999,203830.4592,259,24676,141449.2287,0
1638631800000,5.7555,5.758,5.7043,5.7308,29105,1638631859999,166891.0643,250,8038,46059.4772,0
1638631860000,5.7263,5.765,5.7132,5.765,5714,1638631919999,32836.4103,209,4819,27713.3362,0
1638631920000,5.7649,5.8333,5.7509,5.815,101674,1638631979999,589660.9422,716,37040,214834.8247,0
1638631980000,5.8142,5.8202,5.7896,5.8001,13969,1638632039999,81046.3124,173,5257,30512.6583,0
1638632040000,5.8099,5.8099,5.7743,5.7957,14242,1638632099999,82521.3041,231,5472,31734.996,0
1638632100000,5.7942,5.8238,5.7826,5.8174,26127,1638632159999,151502.7231,191,7370,42793.7371,0
1638632160000,5.8168,5.8437,5.8069,5.8389,20953,1638632219999,122079.4181,294,14765,86029.0189,0
1638632220000,5.8427,5.8538,5.8229,5.8538,19710,1638632279999,115052.2831,216,5298,30965.7088,0
1638632280000,5.8531,5.8982,5.8418,5.8951,15370,1638632339999,90383.2901,574,11285,66325.7812,0
1638632340000,5.8941,5.937,5.8745,5.8818,58835,1638632399999,347582.245,1116,34527,203962.1624,0
1638632400000,5.8766,5.9024,5.8143,5.8715,54095,1638632459999,316393.8113,910,18891,110622.3495,0
1638632460000,5.8718,5.9195,5.859,5.895,27743,1638632519999,163191.0173,423,13894,81845.0394,0
